22.1,22.2,22.1,22.0,22.2,22.3,22.1,22.0,22.1,22.2,22.1,22.0
22.2,22.1,22.2,22.2,22.3,22.4,22.2,22.1,22.2,22.1,22.0,22.1
22.1,22.2,22.3,22.4,22.8,23.1,22.5,22.2,22.1,22.2,22.1,22.0
22.0,22.2,22.4,23.0,25.8,27.4,24.1,22.4,22.2,22.1,22.0,22.1
22.1,22.3,22.6,24.4,29.1,30.3,27.2,23.1,22.3,22.1,22.2,22.0
22.0,22.2,22.5,23.8,27.6,29.8,26.4,22.9,22.4,22.2,22.1,22.1
22.1,22.3,22.4,22.8,24.5,25.2,23.8,22.5,22.2,22.1,22.0,22.2
22.2,22.1,22.2,22.4,22.8,23.0,22.6,22.3,22.1,22.0,22.2,22.1
22.1,22.0,22.1,22.2,22.3,22.5,22.4,22.1,21.9,22.0,22.1,22.2
22.0,22.1,22.2,22.1,22.2,22.3,22.2,22.0,22.1,22.2,22.0,22.1
